room_id,room,building,type,capacity
A-104,104,Akas,classroom,30
A-105,105,Akas,classroom,30
A-106,106,Akas,classroom,30
A-110,110,Akas,classroom,30
A-203,203,Akas,classroom,30
A-204,204,Akas,classroom,30
A-205,205,Akas,classroom,30
A-206,206,Akas,classroom,30
A-207,207,Akas,classroom,30
A-208,208,Akas,classroom,30
A-209,209,Akas,classroom,30
A-302,302,Akas,classroom,30
A-303,303,Akas,classroom,30
A-303-a,303.a,Akas,classroom,20
A-303-b,303.b,Akas,classroom,20
A-304,304,Akas,classroom,30
A-305,305,Akas,computer,30
A-307,307,Akas,classroom,30
A-308,308,Akas,classroom,30
A-309,309,Akas,classroom,30
A-402,402,Akas,classroom,30
A-403,403,Akas,classroom,30
A-403-a,403.a,Akas,classroom,20
A-403-b,403.b,Akas,classroom,20
A-404,404,Akas,classroom,30
A-405,405,Akas,classroom,30
A-aktu-zale,aktu_zale,Akas,sport,90
A-sporta-zale,sporta_zale,Akas,sport,30
T-108,108,Tērbatas,classroom,30
T-207,207,Tērbatas,classroom,30
T-208,208,Tērbatas,classroom,30
T-301,301,Tērbatas,computer,30
T-302,302,Tērbatas,classroom,30
T-303,303,Tērbatas,classroom,20
T-304,304,Tērbatas,computer,30
T-305,305,Tērbatas,classroom,30
T-306,306,Tērbatas,classroom,30
T-307,307,Tērbatas,classroom,30
T-309,309,Tērbatas,chemistry,30
T-401,401,Tērbatas,classroom,20
T-402,402,Tērbatas,classroom,30
T-403,403,Tērbatas,classroom,20
T-404,404,Tērbatas,classroom,20
T-405,405,Tērbatas,classroom,20
T-406,406,Tērbatas,classroom,30
T-407,407,Tērbatas,classroom,30
T-408,408,Tērbatas,classroom,30
T-409,409,Tērbatas,classroom,30
T-410,410,Tērbatas,classroom,30
T-501,501,Tērbatas,classroom,30
T-504,504,Tērbatas,classroom,30
T-505,505,Tērbatas,classroom,30
T-506,506,Tērbatas,classroom,30
T-601,601,Tērbatas,classroom,30
T-602,602,Tērbatas,classroom,30
T-603,603,Tērbatas,classroom,30
T-605,605,Tērbatas,classroom,30
T-606,606,Tērbatas,classroom,30
T-705,705,Tērbatas,classroom,30
T-707,707,Tērbatas,classroom,30
T-sporta-zale,sporta_zale,Tērbatas,sport,60
