partition_key,variant_id,stream_id,participant_suffixes
BIO_10,v1,1,DAB;HUM
BIO_10,v1,2,MAT;UZN
BIO_10,v2,1,DAB;MAT
BIO_10,v2,2,HUM;UZN
BIO_10,v3,1,DAB;UZN
BIO_10,v3,2,HUM;MAT
CHEM_10,v1,1,DAB;HUM
CHEM_10,v1,2,MAT;UZN
CHEM_10,v2,1,DAB;MAT
CHEM_10,v2,2,HUM;UZN
CHEM_10,v3,1,DAB;UZN
CHEM_10,v3,2,HUM;MAT
CHEM_11,v1,1,DAB;HUM
CHEM_11,v1,2,MAT;UZN
CHEM_11,v2,1,DAB;MAT
CHEM_11,v2,2,HUM;UZN
CHEM_11,v3,1,DAB;UZN
CHEM_11,v3,2,HUM;MAT
CULT_11,v1,1,DAB;MAT
CULT_11,v1,2,UZN
CULT_11,v2,1,DAB;UZN
CULT_11,v2,2,MAT
CULT_11,v3,1,MAT;UZN
CULT_11,v3,2,DAB
DATORIKA_10,v1,1,DAB;HUM
DATORIKA_10,v1,2,UZN
DATORIKA_10,v2,1,DAB;UZN
DATORIKA_10,v2,2,HUM
DATORIKA_10,v3,1,HUM;UZN
DATORIKA_10,v3,2,DAB
ECON_12,v1,1,MAT;UZN
ENG2_12,v1,1,HUM;UZN
ENG_10,v1,1,DAB;HUM
ENG_10,v1,2,MAT;UZN
ENG_10,v2,1,DAB;MAT
ENG_10,v2,2,HUM;UZN
ENG_10,v3,1,DAB;UZN
ENG_10,v3,2,HUM;MAT
ENG_11,v1,1,DAB;HUM
ENG_11,v1,2,MAT;UZN
ENG_11,v2,1,DAB;MAT
ENG_11,v2,2,HUM;UZN
ENG_11,v3,1,DAB;UZN
ENG_11,v3,2,HUM;MAT
ENG_12,v1,1,DAB;HUM
ENG_12,v1,2,MAT;UZN
ENG_12,v2,1,DAB;MAT
ENG_12,v2,2,HUM;UZN
ENG_12,v3,1,DAB;UZN
ENG_12,v3,2,HUM;MAT
GEO_11,v1,1,DAB;HUM
GEO_11,v1,2,MAT;UZN
GEO_11,v2,1,DAB;MAT
GEO_11,v2,2,HUM;UZN
GEO_11,v3,1,DAB;UZN
GEO_11,v3,2,HUM;MAT
GEO_12,v1,1,HUM;UZN
GERMAN2_12,v1,1,HUM;UZN
GERMANAK_10,v1,1,DAB;HUM
GERMANAK_10,v1,2,MAT;UZN
GERMANAK_10,v2,1,DAB;MAT
GERMANAK_10,v2,2,HUM;UZN
GERMANAK_10,v3,1,DAB;UZN
GERMANAK_10,v3,2,HUM;MAT
GERMANAK_11,v1,1,DAB;HUM
GERMANAK_11,v1,2,MAT;UZN
GERMANAK_11,v2,1,DAB;MAT
