grade,program,subject,lessons_per_week,optional,group_count,shared_group_key,share_mode
1,Pamatizglītība,Angļu valoda,2,False,2,,none
1,Pamatizglītība,Dabaszinības,1,False,1,,none
1,Pamatizglītība,Dizains un tehnoloģijas,1,False,1,,none
1,Pamatizglītība,Latviešu valoda,6,False,2,,none
1,Pamatizglītība,Matemātika,5,False,1,,none
1,Pamatizglītība,Mūzika,2,False,1,,none
1,Pamatizglītība,Sociālās zinības,1,False,1,,none
1,Pamatizglītība,Sports un veselība,2,False,1,,none
1,Pamatizglītība,Vizuālā māksla,2,False,1,,none
2,Pamatizglītība,Angļu valoda,2,False,2,,none
2,Pamatizglītība,Dabaszinības,2,False,1,,none
2,Pamatizglītība,Dizains un tehnoloģijas,1,False,1,,none
2,Pamatizglītība,Latviešu valoda,6,False,2,,none
2,Pamatizglītība,Matemātika,5,False,1,,none
2,Pamatizglītība,Mūzika,2,False,1,,none
2,Pamatizglītība,Sociālās zinības,1,False,1,,none
2,Pamatizglītība,Sports un veselība (praktiskā),2,False,1,,none
2,Pamatizglītība,Sports un veselība (teorija),1,False,1,,none
2,Pamatizglītība,Vizuālā māksla,1,False,1,,none
3,Pamatizglītība,Angļu valoda,3,False,2,,none
3,Pamatizglītība,Dabaszinības,2,False,1,,none
3,Pamatizglītība,Dizains un tehnoloģijas,2,False,1,,none
3,Pamatizglītība,Latviešu valoda,6,False,2,,none
3,Pamatizglītība,Matemātika,5,False,1,,none
3,Pamatizglītība,Mūzika,1,False,1,,none
3,Pamatizglītība,Sociālās zinības,1,False,1,,none
3,Pamatizglītība,Sports un veselība (praktiskā),2,False,1,,none
3,Pamatizglītība,Sports un veselība (teorija),1,False,1,,none
3,Pamatizglītība,Vizuālā māksla,1,False,1,,none
4,Pamatizglītība,Angļu valoda,3,False,2,,none
4,Pamatizglītība,Dabaszinības,2,False,1,,none
4,Pamatizglītība,Datorika,1,False,2,,none
4,Pamatizglītība,Dizains un tehnoloģijas,1,False,1,,none
4,Pamatizglītība,Latviešu valoda,5,False,2,,none
4,Pamatizglītība,Literatūra,1,False,2,,none
4,Pamatizglītība,Matemātika,5,False,1,,none
4,Pamatizglītība,Mūzika,2,False,1,,none
4,Pamatizglītība,Sociālās zinības un vēsture,2,False,1,,none
4,Pamatizglītība,Sports un veselība (praktiskā),2,False,1,,none
4,Pamatizglītība,Sports un veselība (teorija),1,False,1,,none
4,Pamatizglītība,Vizuālā māksla,1,False,1,,none
5,Pamatizglītība,Angļu valoda,3,False,2,,none
5,Pamatizglītība,Dabaszinības,2,False,1,,none
5,Pamatizglītība,Datorika,1,False,2,,none
5,Pamatizglītība,Dizains un tehnoloģijas,1,False,1,,none
5,Pamatizglītība,Latviešu valoda,5,False,2,,none
5,Pamatizglītība,Literatūra,2,False,1,,none
5,Pamatizglītība,Matemātika,5,False,1,,none
5,Pamatizglītība,Mūzika,1,False,1,,none
5,Pamatizglītība,Sociālās zinības un vēsture,2,False,1,,none
5,Pamatizglītība,Sports un veselība (praktiskā),2,False,1,,none
5,Pamatizglītība,Sports un veselība (teorija),1,False,1,,none
5,Pamatizglītība,Vizuālā māksla,1,False,1,,none
5,Pamatizglītība,Vācu valoda,2,False,2,,none
6,Pamatizglītība,Angļu valoda,3,False,2,,none
6,Pamatizglītība,Dabaszinības,2,False,1,,none
6,Pamatizglītība,Datorika,1,False,2,,none
6,Pamatizglītība,Dizains un tehnoloģijas,1,False,1,,none
6,Pamatizglītība,Latviešu valoda,4,False,2,,none
6,Pamatizglītība,Literatūra,2,False,1,,none
6,Pamatizglītība,Matemātika,5,False,1,,none
6,Pamatizglītība,Mūzika,2,False,1,,none
6,Pamatizglītība,Sociālās zinības un vēsture,2,False,1,,none
6,Pamatizglītība,Sports un veselība (praktiskā),2,False,1,SPORT_6,optional_single_or_pair
6,Pamatizglītība,Sports un veselība (teorija),1,False,1,,none
6,Pamatizglītība,Teātra māksla,1,False,1,,none
6,Pamatizglītība,Vizuālā māksla,1,False,1,,none
6,Pamatizglītība,Vācu valoda,3,False,2,,none
7,Pamatizglītība,Angļu valoda,3,False,2,,none
7,Pamatizglītība,Bioloģija,2,False,1,,none
7,Pamatizglītība,Datorika,1,False,2,,none
7,Pamatizglītība,Dizains un tehnoloģijas,1,False,1,,none
7,Pamatizglītība,Fizika,1,False,1,,none
7,Pamatizglītība,Latviešu valoda,3,False,2,,none
7,Pamatizglītība,Literatūra,1,False,1,,none
7,Pamatizglītība,Matemātika,5,False,1,,none
7,Pamatizglītība,Mūzika,2,False,1,,none
7,Pamatizglītība,Sociālās zinības,1,False,1,,none
7,Pamatizglītība,Sports un veselība,2,False,1,SPORT_7,optional_single_or_pair
7,Pamatizglītība,Teātra māksla,1,False,1,,none
7,Pamatizglītība,Vizuālā māksla,2,False,1,,none
7,Pamatizglītība,Vācu valoda,3,False,2,,none
7,Pamatizglītība,Vēsture,2,False,1,,none
7,Pamatizglītība,Ģeogrāfija,1,False,1,,none
7,Pamatizglītība,Ķīmija,1,False,1,,none
8,Pamatizglītība,Angļu valoda,3,False,2,,none
8,Pamatizglītība,Bioloģija,2,False,1,,none
8,Pamatizglītība,Datorika,1,False,2,,none
8,Pamatizglītība,Dizains un tehnoloģijas,1,False,1,,none
8,Pamatizglītība,Fizika,2,False,1,,none
8,Pamatizglītība,Latviešu valoda,3,False,2,,none
8,Pamatizglītība,Literatūra,2,False,1,,none
8,Pamatizglītība,Matemātika,5,False,1,,none
8,Pamatizglītība,Mūzika,1,False,1,,none
8,Pamatizglītība,Sociālās zinības,1,False,1,,none
8,Pamatizglītība,Sports un veselība (praktiskā),2,False,1,SPORT_8,optional_single_or_pair
8,Pamatizglītība,Sports un veselība (teorija),1,False,1,,none
8,Pamatizglītība,Vizuālā māksla,1,False,1,,none
8,Pamatizglītība,Vācu valoda,3,False,2,,none
8,Pamatizglītība,Vēsture,2,False,1,,none
8,Pamatizglītība,Ģeogrāfija,2,False,1,,none
8,Pamatizglītība,Ķīmija,2,False,1,,none
9,Pamatizglītība,Angļu valoda,3,False,2,,none
9,Pamatizglītība,Bioloģija,2,False,1,,none
9,Pamatizglītība,Datorika,2,False,2,,none
9,Pamatizglītība,Dizains un tehnoloģijas,1,False,1,,none
9,Pamatizglītība,Fizika,2,False,1,,none
9,Pamatizglītība,Inženierzinības,1,False,1,,none
9,Pamatizglītība,Latviešu valoda,3,False,2,,none
9,Pamatizglītība,Literatūra,2,False,1,,none
9,Pamatizglītība,Matemātika,5,False,1,,none
9,Pamatizglītība,Sociālās zinības,1,False,1,,none
9,Pamatizglītība,Sports un veselība (praktiskā),2,False,1,SPORT_9,optional_single_or_pair
9,Pamatizglītība,Sports un veselība (teorija),1,False,1,,none
9,Pamatizglītība,Vācu valoda,3,False,2,,none
9,Pamatizglītība,Vēsture,2,False,1,,none
9,Pamatizglītība,Ģeogrāfija,2,False,1,,none
9,Pamatizglītība,Ķīmija,2,False,1,,none
10,Dabaszinātnes,Bioloģija I,3,False,1,BIO_10,fixed_pair_partition
10,Dabaszinātnes,Datorika,2,False,1,DATORIKA_10,fixed_pair_partition
10,Dabaszinātnes,Fizika I,3,False,1,PHYS_10,fixed_pair_partition
10,Dabaszinātnes,Latviešu valoda un literatūra I,4,False,1,LAT_10,fixed_pair_partition
10,Dabaszinātnes,Matemātika I,5,False,1,MATH_10,fixed_pair_partition
