teacher_id,subject,class
T001,Latviešu valoda un literatūra,7.a
T001,Latviešu valoda un literatūra,7.b
T001,Latviešu valoda un literatūra,7.c
T001,Latviešu valoda un literatūra,9.a
T001,Latviešu valoda un literatūra,9.b
T001,Latviešu valoda un literatūra,9.c
T001,Latviešu valoda,7.a
T001,Latviešu valoda,7.b
T001,Latviešu valoda,7.c
T001,Latviešu valoda,9.a
T001,Latviešu valoda,9.b
T001,Latviešu valoda,9.c
T003,Matemātika,6.a
T003,Matemātika,6.b
T003,Matemātika,6.c
T003,Matemātika,9.a
T003,Matemātika,9.c
T004,Latviešu valoda,1.b
T004,Latviešu valoda,3.a
T004,Latviešu valoda,3.b
T004,Latviešu valoda,3.c
T004,Sociālās zinības,1.b
T004,Sociālās zinības,3.a
T004,Sociālās zinības,3.b
T004,Sociālās zinības,3.c
T005,Bioloģija,10.a
T005,Bioloģija,10.b
T005,Bioloģija,11.b
T005,Bioloģija,12.b
T006,Fizika,12.b
T006,Fizika,7.a
T006,Fizika,7.b
T006,Fizika,7.c
T007,Angļu valoda,8.a
T007,Angļu valoda,8.b
T007,Angļu valoda,8.c
T007,Angļu valoda,9.a
T007,Angļu valoda,9.b
T007,Angļu valoda,9.c
T008,Teātra māksla,11.a
T008,Teātra māksla,12.a
T008,Teātra māksla,6.a
T008,Teātra māksla,6.b
T008,Teātra māksla,6.c
T010,Vācu valoda,10.a
T010,Vācu valoda,10.b
T010,Vācu valoda,11.a
T010,Vācu valoda,11.b
T010,Vācu valoda,12.a
T010,Vācu valoda,8.a
T010,Vācu valoda,8.b
T012,Matemātika,9.b
T016,Datorika,5.a
T016,Datorika,5.b
T016,Datorika,5.c
T016,Datorika,6.a
T016,Datorika,6.b
T016,Datorika,6.c
T016,Datorika,7.a
T016,Datorika,7.b
T016,Datorika,7.c
T016,Datorika,8.a
T016,Datorika,8.b
T016,Datorika,8.c
T016,Datorika,9.a
T016,Datorika,9.b
T016,Datorika,9.c
T016,Dizains un tehnoloģijas,5.a
T016,Dizains un tehnoloģijas,5.b
T016,Dizains un tehnoloģijas,5.c
T016,Dizains un tehnoloģijas,6.a
T016,Dizains un tehnoloģijas,6.b
T016,Dizains un tehnoloģijas,6.c
T016,Dizains un tehnoloģijas,7.a
T016,Dizains un tehnoloģijas,7.b
T016,Dizains un tehnoloģijas,7.c
T016,Dizains un tehnoloģijas,8.a
T016,Dizains un tehnoloģijas,8.b
T016,Dizains un tehnoloģijas,8.c
T016,Dizains un tehnoloģijas,9.a
T016,Dizains un tehnoloģijas,9.b
T016,Dizains un tehnoloģijas,9.c
T018,Angļu valoda,3.a
T018,Angļu valoda,3.b
T018,Angļu valoda,3.c
T018,Angļu valoda,5.a
T018,Angļu valoda,5.b
T018,Angļu valoda,5.c
T019,Datorika,4.a
T019,Datorika,4.b
T019,Datorika,4.c
T019,Datorika,9.a
T019,Datorika,9.b
T019,Datorika,9.c
T019,Inženierzinības,4.a
T019,Inženierzinības,4.b
T019,Inženierzinības,4.c
T019,Inženierzinības,9.a
T019,Inženierzinības,9.b
T019,Inženierzinības,9.c
T020,Matemātika,4.a
T020,Matemātika,4.b
T020,Matemātika,4.c
T020,Matemātika,5.a
T020,Matemātika,5.b
T023,Bioloģija,7.a
T023,Bioloģija,7.b
T023,Bioloģija,7.c
T023,Bioloģija,9.a
T023,Bioloģija,9.b
T023,Bioloģija,9.c
T024,Vācu valoda,12.a
T024,Vācu valoda,5.a
T024,Vācu valoda,5.b
T024,Vācu valoda,5.c
T024,Vācu valoda,6.a
T024,Vācu valoda,6.b
T024,Vācu valoda,6.c
T024,Vācu valoda,7.a
T024,Vācu valoda,7.b
T024,Vācu valoda,7.c
T025,Vācu valoda,10.a
T025,Vācu valoda,11.b
T025,Vācu valoda,12.b
T025,Vācu valoda,6.b
T025,Vācu valoda,6.c
T025,Vācu valoda,8.c
T025,Vācu valoda,9.a
T025,Vācu valoda,9.b
T025,Vācu valoda,9.c
T026,Mūzika,1.a
T026,Mūzika,1.b
T026,Mūzika,2.a
T026,Mūzika,2.b
T026,Mūzika,2.c
T026,Mūzika,3.a
T026,Mūzika,3.b
T026,Mūzika,3.c
T026,Mūzika,4.a
T026,Mūzika,4.b
T026,Mūzika,4.c
T028,Vācu valoda,10.b
T028,Vācu valoda,6.a
T028,Vācu valoda,7.a
T028,Vācu valoda,7.b
T028,Vācu valoda,7.c
T029,Latviešu valoda,3.a
T029,Latviešu valoda,3.b
T029,Latviešu valoda,3.c
T029,Dizains un tehnoloģijas,3.a
T029,Dizains un tehnoloģijas,3.b
T029,Dizains un tehnoloģijas,3.c
T032,Latviešu valoda un literatūra,4.a
T032,Latviešu valoda un literatūra,4.b
T032,Latviešu valoda un literatūra,5.a
T032,Latviešu valoda un literatūra,5.b
T032,Latviešu valoda,4.a
T032,Latviešu valoda,4.b
T032,Latviešu valoda,5.a
T032,Latviešu valoda,5.b
T033,Vācu valoda,10.b
T033,Vācu valoda,11.b
T033,Vācu valoda,12.b
T035,Latviešu valoda un literatūra,4.c
T035,Latviešu valoda un literatūra,5.a
T035,Latviešu valoda un literatūra,5.b
T035,Latviešu valoda un literatūra,5.c
T035,Latviešu valoda,4.c
T035,Latviešu valoda,5.a
T035,Latviešu valoda,5.b
T035,Latviešu valoda,5.c
T036,Ķīmija,7.a
T036,Ķīmija,7.b
T036,Ķīmija,7.c
T036,Ķīmija,8.a
T036,Ķīmija,8.b
T036,Ķīmija,8.c
T037,Latviešu valoda,6.a
T037,Latviešu valoda,6.b
T037,Latviešu valoda,6.c
T037,Latviešu valoda,7.b
T037,Latviešu valoda,7.c
T038,Dabaszinības,4.a
T038,Dabaszinības,4.b
T038,Dabaszinības,4.c
T038,Dabaszinības,5.a
T038,Dabaszinības,5.b
T038,Dabaszinības,5.c
T038,Dabaszinības,6.a
T038,Dabaszinības,6.b
T038,Dabaszinības,6.c
T040,Sports un veselība,11.b
T040,Sports un veselība,12.b
T040,Sports un veselība,5.a
T040,Sports un veselība,5.b
T040,Sports un veselība,5.c
T040,Sports un veselība,7.a
T040,Sports un veselība,7.b
T040,Sports un veselība,7.c
T040,Sports un veselība,8.c
T040,Sports un veselība,9.c
T041,Latviešu valoda,6.a
T041,Latviešu valoda,6.c
T043,Vizuālā māksla,1.a
T043,Vizuālā māksla,1.b
T043,Vizuālā māksla,2.a
T043,Vizuālā māksla,2.b
T043,Vizuālā māksla,4.a
T043,Vizuālā māksla,4.b
T043,Vizuālā māksla,4.c
T044,Dizains un tehnoloģijas,2.a
T044,Dizains un tehnoloģijas,2.b
T044,Dizains un tehnoloģijas,2.c
T044,Dizains un tehnoloģijas,5.b
T044,Sports un veselība,2.a
T044,Sports un veselība,2.b
T044,Sports un veselība,2.c
T044,Sports un veselība,5.b
T044,Vizuālā māksla,2.a
T044,Vizuālā māksla,2.b
T044,Vizuālā māksla,2.c
T044,Vizuālā māksla,5.b
T045,Programmēšana,10.b
T045,Programmēšana,11.b
T046,Ķīmija,10.a
T046,Ķīmija,10.b
T046,Ķīmija,11.a
T046,Ķīmija,11.b
T046,Ķīmija,12.b
T046,Ķīmija,9.a
T046,Ķīmija,9.b
T046,Ķīmija,9.c
T047,Uzņēmējdarbības pamati,10.b
T047,Uzņēmējdarbības pamati,11.b
T047,Uzņēmējdarbības pamati,12.b
T047,Ekonomika,10.b
T047,Ekonomika,11.b
T047,Ekonomika,12.b
T048,Latviešu valoda un literatūra,8.a
T048,Latviešu valoda un literatūra,8.b
T048,Latviešu valoda un literatūra,8.c
T048,Latviešu valoda un literatūra,9.a
T048,Latviešu valoda un literatūra,9.b
T048,Latviešu valoda un literatūra,9.c
T048,Latviešu valoda,8.a
