teacher_id,max_day,min_day,max_consec
T001,6,5,3
T002,8,5,3
T003,8,5,3
T004,8,5,3
T005,8,4,3
T006,7,3,3
T007,6,3,4
T008,8,3,4
T010,6,3,3
T012,6,3,2
T014,8,3,2
T016,8,4,4
T018,8,5,4
T019,8,3,2
T020,7,5,3
T023,8,4,4
T024,7,4,3
T025,8,5,4
T026,6,5,4
T028,7,3,4
T029,6,3,4
T032,7,3,2
T033,7,5,2
T035,6,4,2
T036,7,5,4
T037,6,4,4
T038,7,4,3
T040,6,3,3
T041,6,5,2
T042,6,5,4
T043,6,4,2
T044,6,3,4
T045,6,3,4
T046,7,5,3
T047,6,4,3
T048,7,4,2
T049,8,3,2
T050,8,3,2
T051,8,5,2
T052,7,4,2
T053,8,3,4
T054,7,5,2
T055,7,3,3
T056,6,4,4
T057,6,4,3
T058,7,4,2
T059,6,5,4
T060,7,3,2
T062,8,5,3
T063,7,3,3
T064,8,3,2
T066,7,3,4
T067,7,3,4
T068,8,5,2
T069,6,4,4
T070,7,3,2
T071,7,3,4
T072,7,4,2
T075,7,3,2
T076,8,4,3
T077,7,4,3
T078,8,3,4
T079,7,3,3
T080,6,3,2
T081,7,3,3
T082,8,4,4
T083,8,4,4
T084,6,5,3
T085,6,4,2
T087,6,3,2
T088,7,4,2
T089,7,4,2
T090,7,4,4
T092,7,3,4
T093,8,5,3
T095,8,3,3
T096,7,5,4
T097,6,4,4
