teacher_id,day,period,unfavorable
T001,1,0,0
T001,1,1,0
T001,1,2,0
T001,1,3,0
T001,1,4,0
T001,1,5,1
T001,1,6,0
T001,1,7,1
T001,1,8,0
T001,1,9,0
T001,2,0,0
T001,2,1,0
T001,2,2,0
T001,2,3,0
T001,2,4,0
T001,2,5,0
T001,2,6,0
T001,2,7,1
T001,2,8,0
T001,2,9,0
T001,3,0,0
T001,3,1,1
T001,3,2,0
T001,3,3,0
T001,3,4,0
T001,3,5,0
T001,3,6,0
T001,3,7,0
T001,3,8,1
T001,3,9,0
T001,4,0,0
T001,4,1,0
T001,4,2,0
T001,4,3,0
T001,4,4,0
T001,4,5,0
T001,4,6,1
T001,4,7,0
T001,4,8,0
T001,4,9,0
T001,5,0,0
T001,5,1,1
T001,5,2,0
T001,5,3,0
T001,5,4,0
T001,5,5,0
T001,5,6,0
T001,5,7,0
T001,5,8,0
T001,5,9,0
T002,1,0,0
T002,1,1,0
T002,1,2,0
T002,1,3,0
T002,1,4,0
T002,1,5,0
T002,1,6,0
T002,1,7,0
T002,1,8,0
T002,1,9,0
T002,2,0,1
T002,2,1,0
T002,2,2,0
T002,2,3,1
T002,2,4,0
T002,2,5,0
T002,2,6,0
T002,2,7,0
T002,2,8,0
T002,2,9,0
T002,3,0,0
T002,3,1,0
T002,3,2,0
T002,3,3,0
T002,3,4,0
T002,3,5,1
T002,3,6,0
T002,3,7,1
T002,3,8,0
T002,3,9,0
T002,4,0,0
T002,4,1,0
T002,4,2,0
T002,4,3,0
T002,4,4,0
T002,4,5,0
T002,4,6,0
T002,4,7,0
T002,4,8,0
T002,4,9,1
T002,5,0,0
T002,5,1,0
T002,5,2,0
T002,5,3,0
T002,5,4,0
T002,5,5,0
T002,5,6,0
T002,5,7,0
T002,5,8,0
T002,5,9,0
T003,1,0,0
T003,1,1,1
T003,1,2,0
T003,1,3,0
T003,1,4,0
T003,1,5,0
T003,1,6,0
T003,1,7,0
T003,1,8,0
T003,1,9,0
T003,2,0,0
T003,2,1,0
T003,2,2,0
T003,2,3,1
T003,2,4,0
T003,2,5,0
T003,2,6,0
T003,2,7,0
T003,2,8,1
T003,2,9,0
T003,3,0,0
T003,3,1,0
T003,3,2,0
T003,3,3,0
T003,3,4,0
T003,3,5,0
T003,3,6,0
T003,3,7,0
T003,3,8,0
T003,3,9,0
T003,4,0,0
T003,4,1,0
T003,4,2,0
T003,4,3,0
T003,4,4,0
T003,4,5,1
T003,4,6,0
T003,4,7,0
T003,4,8,0
T003,4,9,0
T003,5,0,0
T003,5,1,0
T003,5,2,0
T003,5,3,0
T003,5,4,0
T003,5,5,0
T003,5,6,0
T003,5,7,0
T003,5,8,1
T003,5,9,0
T004,1,0,0
T004,1,1,0
T004,1,2,0
T004,1,3,0
T004,1,4,0
T004,1,5,0
T004,1,6,0
T004,1,7,0
T004,1,8,0
T004,1,9,0
T004,2,0,0
T004,2,1,0
T004,2,2,1
T004,2,3,0
T004,2,4,0
T004,2,5,0
T004,2,6,0
T004,2,7,0
T004,2,8,0
T004,2,9,0
T004,3,0,1
T004,3,1,0
T004,3,2,0
T004,3,3,0
T004,3,4,0
T004,3,5,0
T004,3,6,0
T004,3,7,0
T004,3,8,0
T004,3,9,0
T004,4,0,0
T004,4,1,0
T004,4,2,0
T004,4,3,0
