teacher_id,subject
T001,Latviešu valoda un literatūra
T001,Latviešu valoda
T002,Matemātika
T003,Matemātika
T004,Latviešu valoda
T004,Sociālās zinības
T005,Bioloģija
T006,Fizika
T007,Angļu valoda
T008,Teātra māksla
T010,Vācu valoda
T012,Matemātika
T014,Matemātika
T016,Datorika
T016,Dizains un tehnoloģijas
T018,Angļu valoda
T019,Datorika
T019,Inženierzinības
T020,Matemātika
T023,Bioloģija
T024,Vācu valoda
T025,Vācu valoda
T026,Mūzika
T028,Vācu valoda
T029,Latviešu valoda
T029,Dizains un tehnoloģijas
T032,Latviešu valoda un literatūra
T032,Latviešu valoda
T033,Vācu valoda
T035,Latviešu valoda un literatūra
T035,Latviešu valoda
T036,Ķīmija
T037,Latviešu valoda
T038,Dabaszinības
T040,Sports un veselība
T041,Latviešu valoda
T042,Matemātika
T043,Vizuālā māksla
T044,Dizains un tehnoloģijas
T044,Sports un veselība
T044,Vizuālā māksla
T045,Programmēšana
T046,Ķīmija
T047,Uzņēmējdarbības pamati
T047,Ekonomika
T048,Latviešu valoda un literatūra
T048,Latviešu valoda
T049,Latviešu valoda un literatūra
T049,Latviešu valoda
T050,Mūzika
T051,Matemātika
T051,Dabaszinības
T051,Sociālās zinības
T052,Teātra māksla
T053,Angļu valoda
T054,Bioloģija
T055,Matemātika
T056,Datorika
T057,Dabaszinības
T058,Datorika
T059,Latviešu valoda un literatūra
T060,Angļu valoda
T062,Angļu valoda
T063,Vācu valoda
T064,Angļu valoda
T066,Kultūras pamati
T066,Vizuālā māksla
T066,Dizains un tehnoloģijas
T067,Mūzika
T068,Latviešu valoda
T069,Sports un veselība
T070,Sports un veselība
T071,Sports un veselība
T072,Matemātika
T072,Dabaszinības
T075,Krievu valoda un literatūra
T076,Krievu valoda un literatūra
T077,Fizika
T078,Programmēšana
T079,Angļu valoda
T080,Angļu valoda
T081,Angļu valoda
T082,Matemātika
T083,Latviešu valoda un literatūra
T083,Latviešu literatūra
T084,Sociālās zinības un vēsture
T084,Sociālās zinības
T085,Vēsture
T085,Sociālās zinības un vēsture
T087,Ģeogrāfija
T088,Matemātika
T089,Angļu valoda
T089,Lietišķā angļu valoda
T089,Angļu literatūra
T090,Vācu valoda
T092,Dizains un tehnoloģijas
T092,Sports un veselība
T092,Vizuālā māksla
T093,Matemātika
T095,Angļu valoda
T096,Latviešu valoda
T097,Latviešu valoda
