lesson_id,class,participants,subject,teacher,room,day,period,shared_key,share_mode,group_index,instance,stream_id,partition_key,variant_id
1.a_Latviešu valoda_T068_gr2_ins1,1.a,1.a,Latviešu valoda,T068,A-304,1,0,,none,2,1,0,,
v1_10.a-UZN+10.b-MAT_Matemātika I_stream2_T082_gr1_ins1,10.a-UZN,10.a-UZN+10.b-MAT,Matemātika I,T082,T-602,1,0,MATH_10,fixed_pair_partition,1,1,2,MATH_10,v1
v3_11.a-HUM+11.b-MAT_Vācu valoda akadēmiskiem nolūkiem_stream2_T010_gr1_ins1,11.a-HUM,11.a-HUM+11.b-MAT,Vācu valoda akadēmiskiem nolūkiem,T010,T-707,1,0,GERMANAK_11,fixed_pair_partition,1,1,2,GERMANAK_11,v3
v3_11.a-UZN+11.b-DAB_Latviešu valoda un literatūra I_stream1_T059_gr1_ins4,11.a-UZN,11.a-UZN+11.b-DAB,Latviešu valoda un literatūra I,T059,T-603,1,0,LAT_11,fixed_pair_partition,1,4,1,LAT_11,v3
v1_12.a-UZN+12.b-MAT_Svešvaloda (angļu) I B2_stream2_T062_gr1_ins1,12.a-UZN,12.a-UZN+12.b-MAT,Svešvaloda (angļu) I B2,T062,T-605,1,0,ENG_12,fixed_pair_partition,1,1,2,ENG_12,v1
2.a_Angļu valoda_T081_gr2_ins1,2.a,2.a,Angļu valoda,T081,A-303-b,1,0,,none,2,1,0,,
2.b_Mūzika_T026_gr1_ins2,2.b,2.b,Mūzika,T026,A-404,1,0,,none,1,2,0,,
3.a_Dabaszinības_T072_gr1_ins1,3.a,3.a,Dabaszinības,T072,A-105,1,0,,none,1,1,0,,
3.c_Latviešu valoda_T029_gr2_ins1,3.c,3.c,Latviešu valoda,T029,A-303-a,1,0,,none,2,1,0,,
4.b_Latviešu valoda_T032_gr1_ins1,4.b,4.b,Latviešu valoda,T032,A-104,1,0,,none,1,1,0,,
4.b_Latviešu valoda_T083_gr2_ins2,4.b,4.b,Latviešu valoda,T083,A-209,1,0,,none,2,2,0,,
4.c_Sports un veselība (teorija)_T069_gr1_ins1,4.c,4.c,Sports un veselība (teorija),T069,A-405,1,0,,none,1,1,0,,
5.a_Dizains un tehnoloģijas_T016_gr1_ins1,5.a,5.a,Dizains un tehnoloģijas,T016,A-205,1,0,,none,1,1,0,,
5.c_Vizuālā māksla_T092_gr1_ins1,5.c,5.c,Vizuālā māksla,T092,A-309,1,0,,none,1,1,0,,
6.a_Datorika_T056_gr2_ins1,6.a,6.a,Datorika,T056,T-301,1,0,,none,2,1,0,,
6.b_Matemātika_T003_gr1_ins2,6.b,6.b,Matemātika,T003,T-506,1,0,,none,1,2,0,,
6.c_Dabaszinības_T038_gr1_ins2,6.c,6.c,Dabaszinības,T038,T-302,1,0,,none,1,2,0,,
7.b_Bioloģija_T023_gr1_ins1,7.b,7.b,Bioloģija,T023,T-705,1,0,,none,1,1,0,,
7.c_Teātra māksla_T052_gr1_ins1,7.c,7.c,Teātra māksla,T052,T-601,1,0,,none,1,1,0,,
8.a_Sports un veselība (teorija)_T070_gr1_ins1,8.a,8.a,Sports un veselība (teorija),T070,T-108,1,0,,none,1,1,0,,
8.b_Vēsture_T084_gr1_ins2,8.b,8.b,Vēsture,T084,T-606,1,0,,none,1,2,0,,
8.c_Ķīmija_T036_gr1_ins1,8.c,8.c,Ķīmija,T036,T-309,1,0,,none,1,1,0,,
9.a_Latviešu valoda_T001_gr1_ins2,9.a,9.a,Latviešu valoda,T001,T-402,1,0,,none,1,2,0,,
9.a_Latviešu valoda_T048_gr2_ins3,9.a,9.a,Latviešu valoda,T048,T-405,1,0,,none,2,3,0,,
9.b_Fizika_T077_gr1_ins2,9.b,9.b,Fizika,T077,T-208,1,0,,none,1,2,0,,
9.c_Ģeogrāfija_T087_gr1_ins1,9.c,9.c,Ģeogrāfija,T087,T-408,1,0,,none,1,1,0,,
1.a_Angļu valoda_T064_gr2_ins1,1.a,1.a,Angļu valoda,T064,A-303,1,1,,none,2,1,0,,
v1_10.a-HUM+10.b-DAB_Ķīmija I_stream1_T046_gr1_ins2,10.a-HUM,10.a-HUM+10.b-DAB,Ķīmija I,T046,T-309,1,1,CHEM_10,fixed_pair_partition,1,2,1,CHEM_10,v1
v1_10.a-UZN+10.b-MAT_Matemātika I_stream2_T082_gr1_ins2,10.a-UZN,10.a-UZN+10.b-MAT,Matemātika I,T082,T-707,1,1,MATH_10,fixed_pair_partition,1,2,2,MATH_10,v1
"11.a-HUM+11.a-UZN+11.b-DAB+11.b-MAT_Svešvaloda (otrā, vācu) I B1_T010_gr1_ins3",11.a-HUM,11.a-HUM+11.a-UZN+11.b-DAB+11.b-MAT,"Svešvaloda (otrā, vācu) I B1",T010,T-506,1,1,GERMAN_11_ALL,forced_parallel_groups,1,3,0,,
